"","SamplesName","SubjectName","nCount_RNA","nFeature_RNA","priCluster","Age_in_Weeks","Area","Period","protocal","dataset","Age","Sex","cluster1","Age_in_days","cluster","WGCNAcluster","RegionName","Laminae","cellType","cellType_sub","deconv_clust"
"1","S95.G5","Sample37",853099.333876404,1391,"",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1a",91,"ExN","","Cortex","All","ExN","ExN1a","Neuro"
"2","O9.C2","Sample5",902088.063015455,2448,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","VZ","ExN","ExN1_4","Neuro"
"3","O9.C4","Sample5",894120.012234822,3255,"IPC-nEN1",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","IPC-nEN1","Cortex","VZ","ExN","ExN1_4","Neuro"
"4","O9.B6","Sample5",903843.502870916,2425,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","VZ","ExN","ExN1_4","Neuro"
"5","O9.D6","Sample5",913815.686545036,2146,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","VZ","ExN","ExN1_4","Neuro"
"6","O9.G6","Sample5",885801.063480447,1752,"IN-CTX-MGE1",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","IN-CTX-MGE1","Cortex","VZ","ExN","ExN1_4","Neuro"
"7","O9.E11","Sample5",921461.470353297,1202,"IN-CTX-CGE1",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","IN-CTX-CGE1","Cortex","VZ","ExN","ExN1_4","Neuro"
"8","O9.B12","Sample5",864418.125225354,2390,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","VZ","ExN","ExN1_4","Neuro"
"9","O9.E12","Sample5",896730.773550833,2679,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","VZ","ExN","ExN1_4","Neuro"
"10","O10.F1","Sample5",917980.335004555,2319,"IPC-nEN2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","IPC-nEN2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"11","O10.B2","Sample5",891994.080023234,2684,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"12","O10.G2","Sample5",896410.138476696,1878,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"13","O10.A3","Sample5",845256.758173508,2388,"",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","","Cortex","SVZ","ExN","ExN1_4","Neuro"
"14","O10.F4","Sample5",899134.619389054,1717,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"15","O10.H4","Sample5",899159.402081899,1657,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"16","O10.A5","Sample5",895648.215472667,2999,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"17","O10.D5","Sample5",889586.922017438,2701,"EN-PFC3",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","EN-PFC3","Cortex","SVZ","ExN","ExN1_4","Neuro"
"18","O10.F5","Sample5",887157.911738887,2280,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"19","O10.G5","Sample5",896902.062603307,2164,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
